layer,train_input,test_input,subset,fold,auroc,n,pos
1,q,q,all,oof,0.6250395694840138,1224,756
1,q,q,all,0,0.6512129380053908,246,140
1,q,q,all,1,0.571024512884978,246,172
1,q,q,all,2,0.5988455988455988,244,154
1,q,q,all,3,0.6176037680306152,244,158
1,q,q,all,4,0.6985930735930737,244,132
1,q,q,C+,oof,0.6250395694840138,612,378
1,q,q,C+,0,0.6512129380053908,123,70
1,q,q,C+,1,0.571024512884978,123,86
1,q,q,C+,2,0.5988455988455988,122,77
1,q,q,C+,3,0.6176037680306152,122,79
1,q,q,C+,4,0.6985930735930737,122,66
1,q,q,C-,oof,0.6250395694840138,612,378
1,q,q,C-,0,0.6512129380053908,123,70
1,q,q,C-,1,0.571024512884978,123,86
1,q,q,C-,2,0.5988455988455988,122,77
1,q,q,C-,3,0.6176037680306152,122,79
1,q,q,C-,4,0.6985930735930737,122,66
1,q,cq,all,oof,0.6033159227603673,1224,756
1,q,cq,all,0,0.6336253369272238,246,140
1,q,cq,all,1,0.566781898177247,246,172
1,q,cq,all,2,0.5886002886002886,244,154
1,q,cq,all,3,0.5245805122166618,244,158
1,q,cq,all,4,0.6700487012987012,244,132
1,q,cq,C+,oof,0.60656627323294,612,378
1,q,cq,C+,0,0.6331536388140162,123,70
1,q,cq,C+,1,0.5791954745443118,123,86
1,q,cq,C+,2,0.6025974025974026,122,77
1,q,cq,C+,3,0.5228142478657639,122,79
1,q,cq,C+,4,0.6718073593073594,122,66
1,q,cq,C-,oof,0.5998281553837109,612,378
1,q,cq,C-,0,0.6331536388140161,123,70
1,q,cq,C-,1,0.5562539283469516,123,86
1,q,cq,C-,2,0.5731601731601732,122,77
1,q,cq,C-,3,0.525758021783927,122,79
1,q,cq,C-,4,0.6682900432900433,122,66
1,cq,cq,all,oof,0.6473963279518835,1224,756
1,cq,cq,all,0,0.6450808625336927,246,140
1,cq,cq,all,1,0.60779384035198,246,172
1,cq,cq,all,2,0.6422077922077922,244,154
1,cq,cq,all,3,0.596335001471887,244,158
1,cq,cq,all,4,0.7576433982683983,244,132
1,cq,cq,C+,oof,0.6474585085696196,612,378
1,cq,cq,C+,0,0.6425876010781671,123,70
1,cq,cq,C+,1,0.6087366436203645,123,86
1,cq,cq,C+,2,0.6476190476190475,122,77
1,cq,cq,C+,3,0.5964085958198411,122,79
1,cq,cq,C+,4,0.7516233766233765,122,66
1,cq,cq,C-,oof,0.6473680640347307,612,378
