layer,train_input,test_input,subset,mean,sd
15,cq,cq,C+,0.818,0.0354
15,cq,cq,C-,0.816,0.0366
15,cq,cq,all,0.8165,0.0355
15,cq,q,C+,0.7084,0.0551
15,cq,q,C-,0.7084,0.0551
15,cq,q,all,0.7084,0.0551
15,q,cq,C+,0.5294,0.0857
15,q,cq,C-,0.5118,0.0888
15,q,cq,all,0.5195,0.085
15,q,q,C+,0.8581,0.0219
15,q,q,C-,0.8581,0.0219
15,q,q,all,0.8581,0.0219
17,cq,cq,C+,0.8233,0.036
17,cq,cq,C-,0.81,0.0384
17,cq,cq,all,0.8164,0.038
17,cq,q,C+,0.7216,0.0572
17,cq,q,C-,0.7216,0.0572
17,cq,q,all,0.7216,0.0572
17,q,cq,C+,0.6431,0.0443
17,q,cq,C-,0.6535,0.0459
17,q,cq,all,0.6454,0.0437
17,q,q,C+,0.8551,0.0246
17,q,q,C-,0.8551,0.0246
17,q,q,all,0.8551,0.0246
18,cq,cq,C+,0.8113,0.0509
18,cq,cq,C-,0.8042,0.0484
18,cq,cq,all,0.8077,0.0506
18,cq,q,C+,0.6992,0.0614
18,cq,q,C-,0.6992,0.0614
18,cq,q,all,0.6992,0.0614
18,q,cq,C+,0.6345,0.0404
18,q,cq,C-,0.6579,0.0425
18,q,cq,all,0.6431,0.0403
18,q,q,C+,0.8601,0.0223
18,q,q,C-,0.8601,0.0223
18,q,q,all,0.8601,0.0223
20,cq,cq,C+,0.8079,0.0448
20,cq,cq,C-,0.8062,0.0444
20,cq,cq,all,0.8074,0.0443
20,cq,q,C+,0.7486,0.0368
20,cq,q,C-,0.7486,0.0368
20,cq,q,all,0.7486,0.0368
20,q,cq,C+,0.6462,0.0389
20,q,cq,C-,0.6707,0.059
20,q,cq,all,0.6558,0.0486
20,q,q,C+,0.8703,0.0272
20,q,q,C-,0.8703,0.0272
20,q,q,all,0.8703,0.0272
